ID,Department Custodian,Department Name of Data System,Purpose,General description of categories or types of data,Vendor,Product,Frequency Data Collected,Frequency Data Updated,Data Classification - High,Data Classification - Low
DPH-0113-S,Public Health,SFPHLIS,Laboratory information system,SF Public Health Laboratory Information System. Local component of CDC's database.,CDC,Custom,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
MTA-0001-S,Municipal Transportation Agency,APC,,Automatic Passenger Count system,Oracle,Oracle DB,Continuous,Quarterly,Level 1 - Public,Level 1 - Public
311-0001-S,311,311-CMS,"To measure calls offered, calls answered, service levels, avg speed of call, % of calls transferred, etc.",311 Call metrics recorded on the AVAYA Call Management System (CMS),AVAYA,AVAYA Call Management System,Continuous,Continuous,Level 3 - Sensitive,Level 1 - Public
PRT-0010-S,Port,Port Parks,Computer aided design and����drafting program,Information about Port parks and open spaces,Autocad,Map 3D,Continuous,Continuous,Level 1 - Public,Level 1 - Public
PRT-0011-S,Port,Project Maps,Computer aided design and����drafting program,Interactive map of Port projects,Autocad,Map 3D,Continuous,Continuous,Level 2 - Internal Use,Level 2 - Internal Use
311-0002-S,311,"311-EMAPP
 (Engagement Management App)","To record, transmit, and store service requests, photos, agency responses, case resolution notes, etc.",Holds all service request data,Verint,Verint,Continuous,Continuous,Level 3 - Sensitive,Level 1 - Public
311-0005-S,311,311 - Business Intelligence,"To pull reports of cases by category, agency, location, description, and/or date, for city departments or external users.","All case data, all categories",Verint,Verint,Continuous,Continuous,Level 3 - Sensitive,Level 1 - Public
311-0006-S,311,311 - Squiz Matrix,"To store information on government services, city departments' websites and web content, and temporary events.","Knowledge base articles, web site articles",Verint,Verint,Continuous,Continuous,Level 2 - Internal Use,Level 1 - Public
AAM-0001-S,Asian Art Museum,Museum Attendance & Impact,Track data to assess museum's onsite attendance.,"Attendance: paid, free, visitors to cafe & store only, school groups. Potentially will begin including rental and special events.",Microsoft,MS Excel,Daily,Monthly,Level 3 - Sensitive,Level 3 - Sensitive
ADM-0001-S,GSA - City Administrator's Office,CCG-Project Database,Grant awards project management,"A listing of projects funded by the Community Challenge Grant Program, including grant award amount, project type, supervisoral district and other finance-related fields.",Microsoft,MS Excel,Daily,Quarterly,Level 1 - Public,Level 1 - Public
ADM-0019-S,GSA - City Administrator's Office,MOD- Plan Check  Database,Track ADA Plan review applications and MOD Inspections.,Required applicants for new construction or alterations to ensure City-owned/ funded projects comply with architectural access standards in the ADA,Microsoft,MS Excel,Daily,Daily,Level 3 - Sensitive,Level 3 - Sensitive
ADM-0020-S,GSA - City Administrator's Office,GFTA-Grantee Database,List of annual grantees.,"Listing of grantees, award amounts, fiscal year and other variables. Used as historical reference and as grant management database.",Microsoft,MS Access,Daily,Biannually,Level 1 - Public,Level 1 - Public
ADM-0021-S,GSA - City Administrator's Office,MOD-ADA Complaint Log,Track public complaints and their resolution.,"Excel spreadsheet tracks details and response and resolution deadlines for ADA complaints, service requests, and curb ramp requests",Microsoft,MS Excel,Daily,Daily,Level 4 - Protected,Level 4 - Protected
ADM-0022-S,GSA - City Administrator's Office,MOD-ADA Transition Plan,Track Citywide progress on ADA transition plan,Excel spreadsheet tracks capital plan projects,Microsoft,MS Excel,Daily,Daily,Level 1 - Public,Level 1 - Public
ADM-0027-S,GSA - City Administrator's Office,OCME-MedEx,Medical Examiner Case Management System.  Will be replaced in 2018.,Database that tracks cases as they move through the department through 8/31/2018,MedEx,COTS,Daily,Daily,Level 4 - Protected,Level 3 - Sensitive
ADM-0028-S,GSA - City Administrator's Office,OCME-Subpoena log,Record of OCME subpoenas received.,Excel spreadsheet that tracks subpoenas for OCME personnel,Microsoft,MS Excel,Daily,Daily,Level 4 - Protected,Level 3 - Sensitive
ADM-0029-S,GSA - City Administrator's Office,OCME-Legal Interaction log,Record of OCME staff participation in legal interactions.,Excel spreadsheet that tracks OCME consultation and court time,Microsoft,MS Excel,Daily,Daily,Level 3 - Sensitive,Level 3 - Sensitive
ADM-0030-S,GSA - City Administrator's Office,ACC-Chameleon,Animal managed system used by ACC,Relational database that tracks the animals and people served by ACC.,Chameleon,COTS,Continuous,Continuous,Level 4 - Protected,Level 2 - Internal Use
ADM-0031-S,GSA - City Administrator's Office,CS-Fleet Focus (Asset Works),Automotive management system,"Collects acquisition, servicing, mileage, fueling, shop expenses, departmental billing, historical costs, and fleet inventory data.",Microsoft,MS Access,Continuous,Continuous,Level 2 - Internal Use,Level 2 - Internal Use
ADM-0032-S,GSA - City Administrator's Office,CS-TRAK,Fuel dispensing audit system,"Fuel dispensing transactions including vehicle, mileage, fuel type, and fuel quantity at 3 City-operated fuel stations.",Microsoft,MS Access,Continuous,Continuous,Level 1 - Public,Level 1 - Public
ADM-0033-S,GSA - City Administrator's Office,CD-Vehicles.mdb,"Temporary ""draft"" Excel spreadsheets used to generate budgets or entries in CCSF systems of records","Work space includes multiple tables for vehicles, departments, accounts, contacts, etc to examine, analyze, and report out.",Microsoft,MS Access,Continuous,Continuous,Level 2 - Internal Use,Level 2 - Internal Use
ADM-0034-S,GSA - City Administrator's Office,FYxx Exp & Recov Workbook.xls,"Temporary ""draft"" Excel spreadsheets used to generate budgets or entries in CCSF systems of records","Work space to manage the budget, collecting monthly expenditures by subobject and recoveries by department, and projecting full-year balances",Microsoft,MS Excel,Monthly,Monthly,Level 2 - Internal Use,Level 2 - Internal Use
ADM-0035-S,GSA - City Administrator's Office,CS-Fuel Purchase Logsheet FYxx.xls,"Temporary ""draft"" Excel spreadsheets used to generate budgets or entries in CCSF systems of records",Collects info on all incoming fuel deliveries,Microsoft,MS Excel,Daily,Monthly,Level 2 - Internal Use,Level 1 - Public
ADM-0038-S,GSA - City Administrator's Office,SF/ARTS-Website and Mobile App,Entertainment listings of San Francisco Bay Area,Responsive online and mobile arts resources for comprehensive listings of San Francisco and greater Bay Area arts and cultural events including editorial content and direct links to event details.,Larson Associates,html,Daily,Daily,Level 2 - Internal Use,Level 1 - Public
ADM-0041-S,GSA - City Administrator's Office,OCA-WebProcureTM,Bid Management,Bid Management & Reporting (Pilot Project),Perfect Commerce,COTS,Daily,Daily,Level 2 - Internal Use,Level 2 - Internal Use
ADM-0042-S,GSA - City Administrator's Office,CC-AtPac Criis,Public on-line access for County Clerk records.,"Database for City/County Official Oath of Office, notary Public Oath, Marriage License and Certificate, SF Domestic Partnership Registration, Fictitious Business Name, Vital Records, Legal Document Assistant, Deputy Marriage Commissioner Oath, Process Server Registration, Professional Photocopier Registration",AtPac Criis,Criis,Continuous,Continuous,Level 4 - Protected,Level 1 - Public
ADM-0044-S,GSA - City Administrator's Office,CC-Appointment system,Public on-line access for County Clerk appointments.,"Web-based booking system for City ID Card Appointment, Marriage Ceremony Appointment, Marriage License Appointment, Military Priority Wedding Appointment",Appointment Plus,Appointment Plus,Continuous,Continuous,Level 4 - Protected,Level 1 - Public
ADM-0046-S,GSA - City Administrator's Office,Capital Planning Reporting Database (CPRd),Internal project request system.,Project request management system that is used by departments to submit projects for inclusion in the capital plan or for funding through the annual budget. The requests and related information stored within the CPRd is an integral part of the 10 year capital plan and 2 year capital budget formulation process.,CIPPlanner,MS SQL Server,Monthly,Monthly,Level 1 - Public,Level 1 - Public
ADM-0050-S,GSA - City Administrator's Office,CPG-Capital Plan Spreadsheet,Departmental spreadsheet of building related capital asset planning data.,"The Master Capital Plan Workbook aggregates FRRM renewal data, and CPRd enhancement data, to generate the financial tables and charts for each chapter of the Capital Plan.",Microsoft,MS Excel,Daily,Quarterly,Level 1 - Public,Level 1 - Public
ADM-0051-S,GSA - City Administrator's Office,ADM-2 yr Capital Budget Spreadsheet,Budget and Planning Deparment Excel spreadsheets for all GSA Dept budgets.,"The Budget workbook for each FY, aggregates and formats all Capital Budget requests from CPRd.",Microsoft,MS Excel,Weekly,Biannually,Level 1 - Public,Level 1 - Public
ADM-0052-S,GSA - City Administrator's Office,R&R-Private Schools Database,Listing of SF private school seismic status,Tracking database for research on seismic safety of SF private schools buildings.,Microsoft,MS Excel,Daily,Yearly,Level 2 - Internal Use,Level 1 - Public
ADM-0053-S,GSA - City Administrator's Office,R&R-Soft Story Database,List of SF buildings at higher than average seismic risk.,"Co-maintained with DBI, tracking document for compliance with the Mandatory Soft Story Retrofit Program",Microsoft,MS Excel,Daily,Yearly,Level 2 - Internal Use,Level 1 - Public
ADM-0055-S,GSA - City Administrator's Office,OLSE-MWO claim log,OLSE Case Management System,Minimum Wage Ordinance case data (excluding back wages and penalties payment tracking),Microsoft,MS Access,Daily,Monthly,Level 4 - Protected,Level 4 - Protected
ADM-0056-S,GSA - City Administrator's Office,OLSE-Wages recovered ? MWO & PSLO,OLSE Case Management System,Wages and penalties recovered for Minimum Wage Ordinance & Paid Sick Leave Ordinance by month,Microsoft,MS Excel,Daily,Monthly,Level 4 - Protected,Level 4 - Protected
ADM-0057-S,GSA - City Administrator's Office,OLSE-PSLO case log,OLSE Case Management System,Paid Sick Leave Ordinance case data (excluding back wages and penalties payment tracking),Microsoft,MS Excel,Daily,Monthly,Level 4 - Protected,Level 4 - Protected
ADM-0058-S,GSA - City Administrator's Office,OLSE-HCSO cases,OLSE Case Management System,Health Care Security Ordinance case data,Microsoft,MS Excel,Daily,Monthly,Level 4 - Protected,Level 4 - Protected
ADM-0059-S,GSA - City Administrator's Office,OLSE-MCO HCAO claim log,OLSE Case Management System,Minimum Compensation & Health Care Accountability Ordinance case data,Microsoft,MS Excel,Daily,Monthly,Level 4 - Protected,Level 4 - Protected
ADM-0061-S,GSA - City Administrator's Office,OCA-City Contracts database,OCA bid tracking database.  Will be replaced by PeopleSoft in 7/2017,"Data on bids, calendar for prebid/precon meetings",Microsoft,MS Outlook,Daily,Monthly,Level 3 - Sensitive,Level 1 - Public
ADM-0062-S,GSA - City Administrator's Office,OLSE-Prevailing Wage case log,OLSE Case Management System,Prevailing Wage case data,Microsoft,MS Excel,Daily,Monthly,Level 4 - Protected,Level 4 - Protected
ADM-0105-S,GSA - City Administrator's Office,RED-CMMS- use of DPW's Infor system.,RED maintenance management system,Computerized Maintenance Management System (CMMS) is an online application which manages RED's properties' work orders received from city agencies and ensures work orders are completed,Infor,EAM (Enterprise Asset Management),Daily,Monthly,Level 4 - Protected,Level 1 - Public
ADM-0109-S,GSA - City Administrator's Office,12B & 14B Waiver Database,Will be replaced by PeopleSoft in 1/2019,The 12B & 14B Waiver Database is used to track information on 12B and 14B waivers received and processed by CMD.,Microsoft,MS Access,Daily,Monthly,Level 3 - Sensitive,Level 1 - Public
ADM-0112-S,GSA - City Administrator's Office,TIDA-Clipper Cove Permit Log,List of Anchorage Permits- TIDA,"All Clipper Cove Anchorage Permits issued by TIDA are logged and tracked to include Permit #, vessel name, USCG or CF #, vessel owner/operator name, contact information, and date of Permit issuance and Permit expiration",Microsoft,MS Excel,Daily,Monthly,Level 3 - Sensitive,Level 1 - Public
ADM-0115-S,GSA - City Administrator's Office,"TIDA- ""Contact TIDA"" responses",List of public inquiries- TIDA,"Inquiries to TIDA, submitted through a standardized submittal form located on the TIDA website, by members of the public are collected in a Google database kept on TIDA's Google Drive account.",Google,Google Drive (Cloud Storage and File Backup),Daily,Monthly,Level 3 - Sensitive,Level 2 - Internal Use
ADM-0116-S,GSA - City Administrator's Office,"TIDA- ""Development Contracting Opportunities"" responses",List of potential contractor inquiries- TIDA,"Individuals and firms interested in receiving future notifications of contracting opportunities with TIDA or TICD may submit their name, contact information, and may also specify which contracting opportunities they are interested in, through a form found on the TIDA website.",Google,Google Sheets,Daily,Monthly,Level 3 - Sensitive,Level 2 - Internal Use
ADM-0117-S,GSA - City Administrator's Office,Office of Cannabis: Temp Retail Permit Tracker,Permit Management,Permit Management-Temporary Retail permits,Microsoft,Excel,Daily,Daily,Level 4 - Protected,Level 1 - Public
ADM-0123-S,GSA - City Administrator's Office,TIDA-Property Spreadsheets,List of current market rate for real estate leases- TIDA,"TIDA tracks market rate housing, affordable housing, residential housing, athletic fields, and commercial subleases'",Microsoft,MS Excel,Daily,Monthly,Level 3 - Sensitive,Level 1 - Public
ADM-0124-S,GSA - City Administrator's Office,TIDA-Master Leasing Pipeline,"List of subleases, special events and Filming permits- TIDA","TIDA keeps a log of all Subleases, Special Event, and Film Use permits",Microsoft,MS Word,Daily,Monthly,Level 1 - Public,Level 1 - Public
ADM-0128-S,GSA - City Administrator's Office,EC-Promoter Registry/ Entertainment Commission,List of active SF event promoters,Mandatory list of registered promoters working in San Francisco; available at: http://sfpromoter.sfgov.org/promoters-list,Department of Technology,Drupal/ xml/ html,Daily,Daily,Level 1 - Public,Level 1 - Public
ADM-0129-S,GSA - City Administrator's Office,CS-Fleet Tracking System,30 day log of recent vehicle activity,"Real time monitoring of vehicle speed, location, and vehicle initiation status.",USA Fleet Solutions,Network Fleet 5000,Continuous,Continuous,Level 3 - Sensitive,Level 3 - Sensitive
ADM-0131-S,GSA - City Administrator's Office,CMD-12B Equal Benefits Certification Database,Will be replaced by PeopleSoft in 7/2017,"The LBE certification database is used to track, qualify, and process enrollment of applicants into CMD?'s 12B Equal Benefits program.",Microsoft,MS Access,Daily,Monthly,Level 3 - Sensitive,Level 2 - Internal Use
ADM-0133-S,GSA - City Administrator's Office,City-Operated Drone Flight Summary Database,Self reported drone activity by the public.,"The City has authorized Departments to use drones to support specific activities during a one-year pilot period. As part of the evaluation of the pilot, Departments are required to submit drone flight summary information to the Open Data Portal within 48 hours of each flight.",Microsoft,Sharepoint,As Needed,As Needed,Level 1 - Public,Level 1 - Public
ADM-0134-S,GSA - City Administrator's Office,Entertainment Commission Chapter 116 Tracking,Notice of Disclosure Tracking System,Properties near a Place of Entertainment must have record of notification from owner to seller or lesses of the presence of licensed entertainment.,Digital Services (ADM),Drupal/ xml/ html,Continuous,Continuous,Level 2 - Internal Use,Level 1 - Public
ADM-0135-S,GSA - City Administrator's Office,Firm Step,Permit Management System,"private and commercial permits for events, noise, etc.",Digital Services (ADM),Drupal/ xml/ html,Daily,Daily,Level 3 - Sensitive,Level 3 - Sensitive
ADM-0136-S,GSA - City Administrator's Office,Office of Cannabis: Screendoor,Permit Management,"Permit Management, register apps list, Verified Equity, Dispensary",Screendoor,Screendoor for Government,Daily,Daily,Level 4 - Protected,Level 1 - Public
ADM-0137-S,GSA - City Administrator's Office,Office of Cannabis: Salesforce,Confidential application verification,Permit Management- Article 16 (Regular) Retail and other permits,Salesforce,Salesforce,Daily,Daily,Level 4 - Protected,Level 2 - Internal Use
ADP-0001-S,Adult Probation,CTAG,APD's management and operational system,"APD's Case Management System (CMS) - contains criminal justise information on all clients and cases that come through APD, including Pre-Sentence Investigation cases and all supervision cases (i.e., probation, mandatory supervision, and PRCS, and Proposition 63 cases. This database contains the following information: criminal justise individual identifiers, demographics, legal case history, supervision case management notes, drug testing and registration information, and other relevant criminal history information on individuals referred by the court to APD. APD's CMS runs on an Oracle Database platform.",Syscon,COTS,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
ADP-0002-S,Adult Probation,COMPAS,APD's risk and needs assessment system,Client risk and needs assessment data,"northpointe, Inc.",COTS,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
ADP-0004-S,Adult Probation,Ankle Bracelet Monitoring,ADP's electronic monitoring tracking system,Vendor-provided system used to track movement of clients on Electronic Monitoring.,Leaders in Community Alternatives,COTS,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
ADP-0011-S,Adult Probation,Reentry Pod Database,Database for tracking clients in the jail Reentry Pod,Vendor-created access database used to track clients in the Reentry Pod in County Jail.,Gary Koenig,MS Access,Continuous,Weekly,Level 4 - Protected,Level 4 - Protected
ADP-0014-S,Adult Probation,LCA Database,Database for tracking clients referred to the Community Assessment Services Center (CASC).,Referrals to the Community Assessment and Services Center (CASC),Microsoft,MS Access,Continuous,Monthly,Level 4 - Protected,Level 4 - Protected
AIR-0004-S,Airport,APS - Aircraft Parking System,To track airline aircraft parking activities.,APS enables Airfield Operations and Ramp Tower personnel to manage the aircraft parking lifecycle from initial reservation through approval for billing.,Homegrown,Oracle 11G,Daily,Daily,Level 1 - Public,Level 1 - Public
AIR-0011-S,Airport,PARCS - Parking Management System,To manage parking usage and payments,"PARCS manages all SFO parking garages, tracking entrances and exits and collecting parking fees.",S&B,COTS,Continuous,Continuous,Level 3 - Sensitive,Level 1 - Public
AIR-0015-S,Airport,Airport Museum Exhibits,To track records of exhibits.,"This database stores information about SFO Museum collections and all past, current, and future museum exhibits.",Apple/FileMaker,FileMaker Pro,Daily,Daily,Level 2 - Internal Use,Level 1 - Public
ART-0015-S,Arts Commission,GoGrants,Tracking grants applications and and awards,"Captures all information submitted through the agency's grants applucations, scoring and notes from panelists and detaisl about the awards. Data is exported and imporated into Filemaker on an annual basis. System is going away after this fiscal year to be replaced by a grants management system built on Salesforce platform.",WESTAF,MS Excel,Annually,Annually,,
ART-0016-S,Arts Commission,QuickBooks,Tracking financial information from public arts projects,"Captures information about the budget, contract with artists, and admin expenses.",QuickBooks,Mixed,Continuous,Continuous,,
AIR-0018-S,Airport,Noise Abatement System,To track aircraft noise testing results and noise complaints,The Noise Abatement System measures and tracks aircraft noise and complaints,BridgeTech,Oracle,Daily,Daily,Level 1 - Public,Level 1 - Public
AIR-0019-S,Airport,SFO Construction,To publish construction contracts and standards.,Drupal website listing how to do business with the Airport,Homegrown,MySQL,Daily,Daily,Level 1 - Public,Level 1 - Public
AIR-0020-S,Airport,GMS - Gate Management System,To allocate gates and stands to airlines,System that manages gate assignments -- also called RMS - Resource Management System,ARINC,MS SQL Server,Daily,Daily,Level 1 - Public,Level 1 - Public
AIR-0021-S,Airport,PMBS - Property Management and Billing System - Air Traffic,To track airtraffic activities for billing purposes.,PMBS is an Airport-wide revenue management system that tracks the full lifecycle of agreements to billing including revenue activities of a wide varieties. PMBS Air Traffic module record montly air traffic statistics,GCR Inc.,Oracle and Dot Net,Daily,Daily,Level 2 - Internal Use,Level 1 - Public
