Item ID,service_area,dept_code,department,original_description,name,description_addback,description,category,FY23-24,FY24-25,FY23-25
A-8,Culture & Recreation,ART,Arts Commission,"Art and culture programming uplifting the Japanese
diaspora",Japanese culture,"Continuing funding for ""art and culture programming uplifting the Japanese diaspora.""","The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes ""innovative cultural policy.""",Continuing,"30,000",0,"30,000"
E-16,Culture & Recreation,ART,Arts Commission,SFUSD queer youth theatre program,Youth theater,Continuing funding for a public school queer youth theater program.,"The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes ""innovative cultural policy.""",Continuing,"100,000",0,"100,000"
F-10,Culture & Recreation,ART,Arts Commission,Mini grant program for artists in the Mission,Arts grants,Continuing funding for small arts grants in the Mission.,"The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes ""innovative cultural policy.""",Continuing,"150,000",0,"150,000"
E-28,General Administration & Finance Departments,BOS,Board Of Supervisors,"Board of Supervisors staffing and operations: 2.0 new
FTEs and 2.0 FTE substitutions for the Board of
Supervisors and 1.0 new FTE for LAFCO.",BOS staffing,Restoring a cut to Board of Supervisors' staffing.,"The legislative branch of San Franciscoís government. It adopts legislation, establishes policies, and assists constituents.",Restoration,"442,219","485,636","927,855"
A-16,"Public Works, Transportation & Commerce",DBI,Building Inspection,"SRO Collaboratives and Code Enforcement Outreach
Program",SRO Collaborative,"Restoring funding to the SRO Collaborative and Code Enforcement Outreach Program, which expedites building code enforcement.",Oversees the enforcement of various building codes and Disability Access Regulations.,Restoration,"4,800,000","4,800,000","9,600,000"
A-7,Human Welfare & Neighborhood Development,CHF,"Children, Youth & Their Families","Culturally competent and language accessible service
center in the Richmond and cultural events by youth",Service center,"Restoring a cut for a ""culturally competent and language accessible service center"" in the Richmond.",Aims to improve the city for children by investing in youth and their families.,Restoration,"150,000","150,000","300,000"
B-20,Human Welfare & Neighborhood Development,CHF,"Children, Youth & Their Families",Advocates to connect foster care clients to resources,Foster care,Expanding funding for advocates to connect foster care clients to resources.,Aims to improve the city for children by investing in youth and their families.,Expansion,"175,000",0,"175,000"
D-17,Human Welfare & Neighborhood Development,CHF,"Children, Youth & Their Families","Expanded after‚Äêschool and summer programing in
Oceanview, Merced Heights and Ingleside",After-school program,"Expanding funding for after-school and summer programming in Oceanview, Merced Heights, and Ingleside.",Aims to improve the city for children by investing in youth and their families.,Expansion,"75,000",0,"75,000"
D-23,Human Welfare & Neighborhood Development,CHF,"Children, Youth & Their Families","Skill building classes for SF youth and afterschool and
summer camp programs for SFUSD students at
community theater",Community theater,"Continuing funding for youth skill-building classes, plus community theater programs for public school kids.",Aims to improve the city for children by investing in youth and their families.,Continuing,"50,000",0,"50,000"
E-13,Human Welfare & Neighborhood Development,CHF,"Children, Youth & Their Families","Paraeducator workforce pipeline and workforce
development support",Paraeducators,Expanding funding for paraeducator workforce pipeline and development support.,Aims to improve the city for children by investing in youth and their families.,Expansion,"250,000",0,"250,000"
