service_area,department,department_description,division,link,budget_2022_23,budget_2023_24,budget_2024_25
Culture & Recreation,Academy Of Sciences,A science museum - and scientific and educational institution - located in San Francisco's Golden Gate Park.,Academy of Sciences,https://www.calacademy.org/,7422345,7460485,7329391
Public Protection,Adult Probation,Aims to rehabilitate adult offenders to promote community safety and reduce recidivism.,Adult Probation,https://sf.gov/departments/adult-probation-department,58036486,58116740,57581502
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Airport Director,https://www.flysfo.com/about/airport-commission,9023494,9142274,9468694
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Bureau Of Admin & Policy,https://www.flysfo.com/about/airport-commission,29574462,29570940,31846599
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Capital Projects,https://www.flysfo.com/about/airport-commission,91229001,53385000,53385000
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Chief Development Office,https://www.flysfo.com/about/airport-commission,14143018,13305526,18780356
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Chief Information Office,https://www.flysfo.com/about/airport-commission,38725352,43791298,46635296
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Chief Operating Office,https://www.flysfo.com/about/airport-commission,16812553,18390578,18721057
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Commercial Office,https://www.flysfo.com/about/airport-commission,44291867,47162215,42240692
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,External Affairs,https://www.flysfo.com/about/airport-commission,9856598,10231954,10505325
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Facilities,https://www.flysfo.com/about/airport-commission,229031666,236856460,244887213
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Maintenance,https://www.flysfo.com/about/airport-commission,15000000,15750000,15750000
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Finance Office,https://www.flysfo.com/about/airport-commission,485233832,626087155,539044052
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Fire Bureau,https://www.flysfo.com/about/airport-commission,1357165,1398356,1036411
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,General,https://www.flysfo.com/about/airport-commission,39611713,53418463,303591382
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Operations & Security,https://www.flysfo.com/about/airport-commission,116994854,128536247,138501964
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Planning Division,https://www.flysfo.com/about/airport-commission,12923245,15513711,15811702
"Public Works, Transportation & Commerce",Airport,SFO is the Bay Areas largest airport by passenger volume. The Commission sets its policies.,Police Bureau,https://www.flysfo.com/about/airport-commission,3221272,2889393,2519971
Culture & Recreation,Arts Commission,"The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes ""innovative cultural policy.""",Admin,https://www.sfartscommission.org/,18223119,20648070,8379892
Culture & Recreation,Arts Commission,"The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes ""innovative cultural policy.""",Civic Design,https://www.sfartscommission.org/our-role-impact/programs/civic-design-review,184763,180721,185774
Culture & Recreation,Arts Commission,"The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes ""innovative cultural policy.""",Community Investments,https://www.sfartscommission.org/our-role-impact/programs/community-investments,19197429,19632436,18874884
Culture & Recreation,Arts Commission,"The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes ""innovative cultural policy.""",Municipal Galleries,https://www.sfartscommission.org/our-role-impact/programs/sfac-galleries,753447,817658,836936
Culture & Recreation,Arts Commission,"The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes ""innovative cultural policy.""",Public Art & Collections,https://www.sfartscommission.org/experience-art/public-art,2352785,1254240,1846992
Culture & Recreation,Arts Commission,"The Commission champions the arts, invests in local artists, enlivens the urban environment, and shapes ""innovative cultural policy.""",Street Artist Program,https://www.sfbetterstreets.org/find-project-types/activating-street-space/street-artists/,208823,208823,208823
Culture & Recreation,Asian Art Museum,"The museum celebrates, preserves, and promotes Asian and Asian American art and cultures.",Asian Art Museum,https://asianart.org/,11192903,11412118,11783496
General Administration & Finance Departments,Assessor-Recorder,"Aims to identify and assess all taxable property in the city, collect transfer tax, and record and provide access to records.",Admin,https://www.sfassessor.org/,6960705,7917237,8135459
General Administration & Finance Departments,Assessor-Recorder,"Aims to identify and assess all taxable property in the city, collect transfer tax, and record and provide access to records.",Exemptions,https://www.sfassessor.org/,661506,695245,709865
General Administration & Finance Departments,Assessor-Recorder,"Aims to identify and assess all taxable property in the city, collect transfer tax, and record and provide access to records.",Personal Property,https://www.sfassessor.org/,3881493,3938669,4039585
General Administration & Finance Departments,Assessor-Recorder,"Aims to identify and assess all taxable property in the city, collect transfer tax, and record and provide access to records.",Public Service,https://www.sfassessor.org/,1824761,2406603,2589832
General Administration & Finance Departments,Assessor-Recorder,"Aims to identify and assess all taxable property in the city, collect transfer tax, and record and provide access to records.",Real Property,https://www.sfassessor.org/,14259464,14737251,13961486
General Administration & Finance Departments,Assessor-Recorder,"Aims to identify and assess all taxable property in the city, collect transfer tax, and record and provide access to records.",Recorder,https://www.sfassessor.org/,3415916,3351610,3308870
General Administration & Finance Departments,Assessor-Recorder,"Aims to identify and assess all taxable property in the city, collect transfer tax, and record and provide access to records.",Standards Mapping Analysis,https://www.sfassessor.org/,2516008,2403637,3430094
General Administration & Finance Departments,Assessor-Recorder,"Aims to identify and assess all taxable property in the city, collect transfer tax, and record and provide access to records.",Transactions,https://www.sfassessor.org/,1638527,1727639,1769153
"Public Works, Transportation & Commerce",Board Of Appeals,"The legislative branch of San Franciscos government. It adopts legislation, establishes policies, and assists constituents.",Board of Appeals,https://sfbos.org/,1195116,1143037,1163469
General Administration & Finance Departments,Board Of Supervisors,"The legislative branch of San Franciscos government. It adopts legislation, establishes policies, and assists constituents.",Assessment Appeals Board,https://sfgov.org/aab/,911174,958404,981984
General Administration & Finance Departments,Board Of Supervisors,"The legislative branch of San Franciscos government. It adopts legislation, establishes policies, and assists constituents.",Budget & Legislative Analyst,https://sfbos.org/budget-legislative-analyst,2979318,3121318,3121318
General Administration & Finance Departments,Board Of Supervisors,"The legislative branch of San Franciscos government. It adopts legislation, establishes policies, and assists constituents.",Clerk Of The Board,https://sfbos.org/clerk-board,5212045,6716622,5875474
General Administration & Finance Departments,Board Of Supervisors,"The legislative branch of San Franciscos government. It adopts legislation, establishes policies, and assists constituents.",Local Agency Formation Commission,https://sfgov.org/lafco/,796077,386113,390210
General Administration & Finance Departments,Board Of Supervisors,"The legislative branch of San Franciscos government. It adopts legislation, establishes policies, and assists constituents.",Sunshine Ordinance Task Force,https://sfgov.org/sunshine/,193874,196045,201026
General Administration & Finance Departments,Board Of Supervisors,"The legislative branch of San Franciscos government. It adopts legislation, establishes policies, and assists constituents.",Supervisors,https://sfbos.org/,11577141,11777061,12076454
General Administration & Finance Departments,Board Of Supervisors,"The legislative branch of San Franciscos government. It adopts legislation, establishes policies, and assists constituents.",Youth Commission,https://sfgov.org/youthcommission/,444847,451042,463140
"Public Works, Transportation & Commerce",Building Inspection,Oversees the enforcement of various building codes and Disability Access Regulations.,Admin,https://sf.gov/departments/department-building-inspection,26710524,23899764,24247004
"Public Works, Transportation & Commerce",Building Inspection,Oversees the enforcement of various building codes and Disability Access Regulations.,Inspection Services,https://sf.gov/departments/department-building-inspection/inspection-services-dbi,46817781,42486001,43257191
"Public Works, Transportation & Commerce",Building Inspection,Oversees the enforcement of various building codes and Disability Access Regulations.,Permit Services,https://sf.gov/departments/department-building-inspection/permit-services-dbi,19316622,19717809,20286689
Human Welfare & Neighborhood Development,Child Support Services,Aims to ensure the financial support and well-being of children through child support orders and non-cash alternatives.,Child Support Services,https://sf.gov/departments/child-support-services,13582056,13666530,13721106
Human Welfare & Neighborhood Development,"Children, Youth & Their Families",Aims to improve the city for children by investing in youth and their families.,"Children, Youth & Families",https://www.dcyf.org/,333011845,342170691,343558108
General Administration & Finance Departments,City Attorney,"Provides legal services to the Mayors Office, the Board of Supervisors, elected City officials, and all the citys departments, boards, and commissions.",City Attorney,https://www.sfcityattorney.org/,103414220,108739568,112991892
General Administration & Finance Departments,City Planning,"Aims to guide and regulate land use, urban design, and development to ""make San Francisco the worlds most livable urban place.""",Admin,https://sfplanning.org/,18682379,19006580,18911358
General Administration & Finance Departments,City Planning,"Aims to guide and regulate land use, urban design, and development to ""make San Francisco the worlds most livable urban place.""",Citywide Planning,https://sfplanning.org/citywide-planning,7970084,8303864,5587729
General Administration & Finance Departments,City Planning,"Aims to guide and regulate land use, urban design, and development to ""make San Francisco the worlds most livable urban place.""",Community Equity,https://sfplanning.org/community-equity,9420782,4922342,5029433
General Administration & Finance Departments,City Planning,"Aims to guide and regulate land use, urban design, and development to ""make San Francisco the worlds most livable urban place.""",Current Planning,"https://sfplanning.org/division/current-planning#:~:text=Planners%20in%20the%20Current%20Planning,of%20use%20and%20residential%20expansions.",16876040,16623221,17103238
General Administration & Finance Departments,City Planning,"Aims to guide and regulate land use, urban design, and development to ""make San Francisco the worlds most livable urban place.""",Environmental Planning,https://sfplanning.org/division/environmental-planning,7547817,7200762,6493124
General Administration & Finance Departments,City Planning,"Aims to guide and regulate land use, urban design, and development to ""make San Francisco the worlds most livable urban place.""",Executive Office,https://sfplanning.org/,2719373,1838589,1888843
General Administration & Finance Departments,City Planning,"Aims to guide and regulate land use, urban design, and development to ""make San Francisco the worlds most livable urban place.""",Zoning Admin & Compliance,https://sfplanning.org/zoning-administrator,712958,802476,812875
General Administration & Finance Departments,Civil Service Commission,"Aims to make sure the city employs the ""best-qualified candidates for public service in a timely and efficient manner.""",Civil Service Commission,https://sf.gov/departments/civil-service-commission,1447365,1511609,1537593
General Administration & Finance Departments,Controller,"Aims to ensure the Citys financial integrity through audits and oversight, promoting effective and accountable government.",Accounting,https://sf.gov/information/our-work,14570171,16929346,16345283
General Administration & Finance Departments,Controller,"Aims to ensure the Citys financial integrity through audits and oversight, promoting effective and accountable government.",Admin,https://sf.gov/information/our-work,1588710,1632602,1602259
General Administration & Finance Departments,Controller,"Aims to ensure the Citys financial integrity through audits and oversight, promoting effective and accountable government.",Budget & Analysis,https://sf.gov/information/budget-and-analysis-division-office-controller,3492856,3771694,3805737
General Administration & Finance Departments,Controller,"Aims to ensure the Citys financial integrity through audits and oversight, promoting effective and accountable government.",City Services Auditor,https://sf.gov/information/city-services-auditor,26106129,26017618,25800649
General Administration & Finance Departments,Controller,"Aims to ensure the Citys financial integrity through audits and oversight, promoting effective and accountable government.",Citywide Systems,https://sf.gov/departments/controllers-office,31453128,29978014,30611284
General Administration & Finance Departments,Controller,"Aims to ensure the Citys financial integrity through audits and oversight, promoting effective and accountable government.",Economic Analysis,https://sf.gov/information/office-economic-analysis,625112,635682,650222
General Administration & Finance Departments,Controller,"Aims to ensure the Citys financial integrity through audits and oversight, promoting effective and accountable government.",Payroll,https://sf.gov/information/our-work,3313902,3203561,3381221
General Administration & Finance Departments,Controller,"Aims to ensure the Citys financial integrity through audits and oversight, promoting effective and accountable government.",Public Finance,https://sf.gov/information/disclaimer-and-conditions-use,550878,956068,978340
General Administration & Finance Departments,Controller,"Aims to ensure the Citys financial integrity through audits and oversight, promoting effective and accountable government.",Refuse rates admin,https://sf.gov/departments/office-refuse-rates-administrator,0,857388,1081328
Public Protection,Department Of Police Accountability,"Aims to hold the police accountable to civilian oversight through investigations, policy recommendations, and performance audits.",Police Accountabilty,https://sf.gov/departments/department-police-accountability,9776177,9970353,9821191
Public Protection,District Attorney,"Aims to prosecute suspects, to support victims of crime, and develop alternatives to incarceration.",District Attorney,https://www.sfdistrictattorney.org/,83984240,89560041,92197211
Human Welfare & Neighborhood Development,Early Childhood,"Helps parents and guardians with child care, parenting support, and child development.",Children & Families Commission,https://sfbos.org/children-and-families-first-commission,27305805,25414037,21794635
Human Welfare & Neighborhood Development,Early Childhood,"Helps parents and guardians with child care, parenting support, and child development.",Early Care & Education,https://sfdec.org/early-care-and-education/,347871102,320069689,344460217
"Public Works, Transportation & Commerce",Economic And Workforce Development,"Aims to support sustainable jobs and businesses using grants, work training, and more.",Economic & Workforce Development,https://sf.gov/departments/office-economic-and-workforce-development/workforce-development-division,-4891,0,-1000
"Public Works, Transportation & Commerce",Economic And Workforce Development,"Aims to support sustainable jobs and businesses using grants, work training, and more.",Economic Development,https://sf.gov/departments/office-economic-and-workforce-development/community-economic-development,91579516,85102337,59126671
"Public Works, Transportation & Commerce",Economic And Workforce Development,"Aims to support sustainable jobs and businesses using grants, work training, and more.",Film Commission,https://sf.gov/departments/office-economic-and-workforce-development/film-sf,1225000,1575000,1600000
"Public Works, Transportation & Commerce",Economic And Workforce Development,"Aims to support sustainable jobs and businesses using grants, work training, and more.",Office of Small Business,https://sf.gov/departments/office-economic-and-workforce-development/office-small-business,3724316,3842016,3788944
"Public Works, Transportation & Commerce",Economic And Workforce Development,"Aims to support sustainable jobs and businesses using grants, work training, and more.",Real Estate Development,https://sf.gov/departments/office-economic-and-workforce-development,15218295,15261206,15349101
"Public Works, Transportation & Commerce",Economic And Workforce Development,"Aims to support sustainable jobs and businesses using grants, work training, and more.",Workforce Development,https://sf.gov/departments/office-economic-and-workforce-development/workforce-development-division,52197034,52301429,48428900
General Administration & Finance Departments,Elections,"Aims to provide equitable access to election services and voting, and to conduct free and fair elections.",Elections Commission,https://sf.gov/departments/elections-commission,72048,77080,75055
General Administration & Finance Departments,Elections,"Aims to provide equitable access to election services and voting, and to conduct free and fair elections.",Elections Services,https://sf.gov/departments/department-elections,23234230,22865869,26269875
Public Protection,Emergency Management,"Leads in planning, preparedness, communication, response, and recovery for daily emergencies, citywide events, and major disasters.",Admin,https://sf.gov/departments/department-emergency-management,39231514,36918586,37817500
Public Protection,Emergency Management,"Leads in planning, preparedness, communication, response, and recovery for daily emergencies, citywide events, and major disasters.",Emergency Communications,https://sf.gov/departments/department-emergency-management,43976786,46706178,47866988
Public Protection,Emergency Management,"Leads in planning, preparedness, communication, response, and recovery for daily emergencies, citywide events, and major disasters.",Emergency Services,https://sf.gov/departments/department-emergency-management,10720460,15836989,10420511
Public Protection,Emergency Management,"Leads in planning, preparedness, communication, response, and recovery for daily emergencies, citywide events, and major disasters.",Homeland Security Grants,https://sf.gov/departments/department-emergency-management,42301892,39312429,39292660
Human Welfare & Neighborhood Development,Environment,"Provides support for urban agriculture, forestry, green buildings, and other environmental projects.",Environment,https://sfenvironment.org/,31503356,32317937,31057858
General Administration & Finance Departments,Ethics Commission,"Investigates and punishes wrongdoing in the city, and collects and reports electoral data.",Ethics Commission,https://sfethics.org/,7586853,7537872,10575225
Culture & Recreation,Fine Arts Museum,Aims to connect visitors with art to stimulate creativity and share knowledge and ideas.,Fine Arts Museum,https://www.famsf.org/,21173515,23247361,22956079
Public Protection,Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.",Admin,https://sf-fire.org/,31353867,31257150,34559534
Public Protection,Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.",Airport,https://sf-fire.org/,33198885,34762696,36032929
Public Protection,Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.",Capital Project & Grants,https://sf-fire.org/,1987564,2109442,2434914
Public Protection,Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.",Fireboat,https://sf-fire.org/,3845642,4016923,4198887
Public Protection,Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.",Investigation,https://sf-fire.org/,3191204,3287701,3372011
Public Protection,Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.",NERT,https://sf-fire.org/nert,340247,346946,352901
Public Protection,Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.",Operations,https://sf-fire.org/,368461547,373417138,384270427
Public Protection,Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.",Prevention,https://sf-fire.org/,21953052,23999249,24423755
Public Protection,Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.",Support Services,https://sf-fire.org/,29613874,33326041,31985380
Public Protection,Fire Department,"Aims to protect lives and property from fires, natural disasters, accidents, hazardous materials incidents, and other causes.",Training,https://sf-fire.org/,4639634,4761195,4858268
General City Responsibility,General City Responsibility,"Expenditures not directly attributable to one City department, such as reserve deposits and debt service.",General City Responsibility,https://sf.gov/departments,1855330819,1830274079,1529163337
General Administration & Finance Departments,"General Services Agency, Admin","A broad array of departments, divisions, programs, and offices reporting to the Office of the City Administrator.",Admin,https://sfgov.org/agency/general-services-agency,18828325,18659262,19037317
General Administration & Finance Departments,"General Services Agency, Admin","A broad array of departments, divisions, programs, and offices reporting to the Office of the City Administrator.",Animal Care & Control,https://www.sfanimalcare.org/,9962893,10072750,10017917
General Administration & Finance Departments,"General Services Agency, Admin","A broad array of departments, divisions, programs, and offices reporting to the Office of the City Administrator.",City Administrator Programs,https://sf.gov/departments/city-administrator/about,135179019,116215493,123311187
General Administration & Finance Departments,"General Services Agency, Admin","A broad array of departments, divisions, programs, and offices reporting to the Office of the City Administrator.",Community Investment & Infrastructure,https://sfocii.org/,1,0,0
General Administration & Finance Departments,"General Services Agency, Admin","A broad array of departments, divisions, programs, and offices reporting to the Office of the City Administrator.",Convention Facilities Management,https://sf.gov/departments/convention-facilities-department,97345803,110767010,98146670
General Administration & Finance Departments,"General Services Agency, Admin","A broad array of departments, divisions, programs, and offices reporting to the Office of the City Administrator.",Entertainment Commission,https://sf.gov/departments/city-administrator/entertainment-commission,1380903,1413644,1429714
General Administration & Finance Departments,"General Services Agency, Admin","A broad array of departments, divisions, programs, and offices reporting to the Office of the City Administrator.",Internal Services,https://sfgov.org/agency/general-services-agency,334045956,325482784,338096564
General Administration & Finance Departments,"General Services Agency, Admin","A broad array of departments, divisions, programs, and offices reporting to the Office of the City Administrator.",Medical Examiner,https://sfgov.org/agency/general-services-agency,13889027,13920268,13649398
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Admin,https://sfgov.org/agency/general-services-agency,54221686,63114949,63441564
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Capital & Equipment,https://sfgov.org/agency/general-services-agency,2700000,505000,500000
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Communications,https://sfgov.org/agency/general-services-agency,6769698,8944779,7035267
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Cybersecurity,https://sfgov.org/agency/general-services-agency,12126319,13074582,13434010
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Enterprise Applications,https://sfgov.org/agency/general-services-agency,7242552,7405111,7461196
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Infrastructure & Operations,https://sfgov.org/agency/general-services-agency,28285776,29938863,32336234
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Innovation,https://sfgov.org/agency/general-services-agency,761238,721363,707286
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Justice Information Tracking,https://sfgov.org/agency/general-services-agency,3012433,3045237,3067279
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Project Management Office,https://sfgov.org/agency/general-services-agency,3186545,2793202,2862056
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Public Safety,https://sfgov.org/agency/general-services-agency,17808738,17913652,18545158
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Rate Model Usage,https://sfgov.org/agency/general-services-agency,6491734,8262630,8798564
General Administration & Finance Departments,"General Services Agency, Tech","A broad array of departments, divisions, programs, and offices with the aim of improving city tech.",Support Services,https://sfgov.org/agency/general-services-agency,10812981,10593885,12084791
General Administration & Finance Departments,Health Service System,"Aims to preserve and improve health benefits and to enhance the well-being of employees, retirees, and their families.",Health Service System,https://sfgov.org/agency/general-services-agency,13550734,13862082,13951317
Human Welfare & Neighborhood Development,Homelessness And Supportive Housing,"Aims to make homelessness ""rare, brief, and one-time"" through services like housing and mental health support.",Admin,https://hsh.sfgov.org/,20987547,23634513,24660350
Human Welfare & Neighborhood Development,Homelessness And Supportive Housing,"Aims to make homelessness ""rare, brief, and one-time"" through services like housing and mental health support.",Programs,https://hsh.sfgov.org/,651032257,689658068,621739816
General Administration & Finance Departments,Human Resources,"Aims to use equitable practices to hire, develop, support, and retain a highly-qualified workforce.",Admin,https://sfgov.org/agency/general-services-agency,9585625,7060690,6278687
General Administration & Finance Departments,Human Resources,"Aims to use equitable practices to hire, develop, support, and retain a highly-qualified workforce.",Employee Relations,https://sfgov.org/agency/general-services-agency,4969260,7763225,4777709
General Administration & Finance Departments,Human Resources,"Aims to use equitable practices to hire, develop, support, and retain a highly-qualified workforce.",Equal Employment Opportunity,https://sfdhr.org/employee-relations,8132608,8781558,9761302
General Administration & Finance Departments,Human Resources,"Aims to use equitable practices to hire, develop, support, and retain a highly-qualified workforce.",Recruit-Assess-Client Services,https://sfdhr.org/,12517853,12792895,13661610
General Administration & Finance Departments,Human Resources,"Aims to use equitable practices to hire, develop, support, and retain a highly-qualified workforce.",Workers Compensation,https://sfdhr.org/workers-compensation,100709000,103536000,107584003
General Administration & Finance Departments,Human Resources,"Aims to use equitable practices to hire, develop, support, and retain a highly-qualified workforce.",Workforce Development,https://sfdhr.org/workforce-development-division,6770180,10825489,8093790
Human Welfare & Neighborhood Development,Human Rights Commission,"Advocates for human and civil rights, and uses anti-discrimination laws to further racial solidarity and equity.",Human Rights Commission,https://sf.gov/departments/human-rights-commission,15120673,21523406,21756403
Human Welfare & Neighborhood Development,Human Services,"Delivers services to support communities including food distribution, children's programs, and a disability community center.",Admin,https://www.sfhsa.org/,150241184,173070863,173601172
